reaction_id,pred_solvents,pred_temp_bin,pred_time_bin,pred_catalyst_present
RXNTEST_a327d3366a73,NONE,hot,medium,1
RXNTEST_5224021c644e,NONE,room,very_long,0
RXNTEST_6324d6227efe,NONE,hot,long,1
RXNTEST_3f142ce69661,NONE,room,long,0
RXNTEST_dd246fb53fae,C1(=CC=CC=C1)C|O1CCOCC1,hot,long,1
RXNTEST_5085f8594904,C1CCOC1|O1CCCC1,cold,short,0
RXNTEST_28f8f297345f,NONE,cold,long,0
RXNTEST_e0f8818756de,NONE,room,long,0
RXNTEST_ae275c9326e3,NONE,room,short,0
RXNTEST_6b982d4db4db,C1CCOC1|O1CCCC1,cryogenic,short,0
RXNTEST_02592bd05650,O1CCOCC1,hot,short,1
RXNTEST_8a71c30e866c,C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_107a84d6bec5,C1CCOC1|C(Cl)Cl|ClCCl|O1CCCC1,room,short,0
RXNTEST_0497027ef1e0,NONE,hot,short,1
RXNTEST_123fa77f0694,CO|O,room,medium,0
RXNTEST_83c26994ed09,CN(C)C=O,room,long,0
RXNTEST_2fda428aae63,NONE,warm,overnight,1
RXNTEST_54758096fd90,NONE,room,medium,1
RXNTEST_762888697778,O1CCOCC1,hot,long,1
RXNTEST_54775e13ddbc,NONE,hot,long,0
RXNTEST_08a59a92746e,C1(=CC=CC=C1)C|O1CCOCC1,hot,overnight,1
RXNTEST_a7722c2d35c4,CN(C)C=O,warm,long,0
RXNTEST_e81a09233705,NONE,room,short,1
RXNTEST_603ef50287c4,NONE,cold,short,0
RXNTEST_3c012261f400,NONE,hot,long,0
RXNTEST_7cea15e3beec,O|C1(=CC=CC=C1)C|O1CCOCC1,hot,short,1
RXNTEST_3ec6152d0364,NONE,warm,short,0
RXNTEST_11819be34896,C1CCOC1|C(Cl)Cl|ClCCl,cold,short,1
RXNTEST_6e1acf58ccff,NONE,warm,overnight,0
RXNTEST_f9387eecc8d2,NONE,hot,long,0
RXNTEST_a62641eef27c,O1CCOCC1,hot,very_short,0
RXNTEST_23df76c1c402,NONE,room,short,0
RXNTEST_a13e62632047,CN(C)C=O,room,long,0
RXNTEST_5ce0f499cd51,NONE,hot,long,1
RXNTEST_fdd929b4cbd4,C1CCOC1|C(Cl)Cl|ClCCl|O1CCCC1,cryogenic,medium,1
RXNTEST_28b8c5311595,CN(C)C=O|CN(C=O)C,room,very_long,0
RXNTEST_30bb1710bff4,C1CCOC1,cold,short,0
RXNTEST_63f6dacfe150,C(Cl)Cl|ClCCl,room,long,0
RXNTEST_d41973f40789,NONE,room,overnight,1
RXNTEST_140cd56cdfe6,C1CCOC1|C(Cl)Cl,room,short,0
RXNTEST_01683ff5843c,CN(C)C=O|C(Cl)Cl|CN(C=O)C,room,long,0
RXNTEST_ed5a48cf6e36,CO|C(C)O,room,short,1
RXNTEST_49c24eb5fa5a,C1CCOC1|O1CCCC1,cryogenic,overnight,0
RXNTEST_7b08b8bde54a,C1(=CC=CC=C1)C|O1CCOCC1,warm,short,1
RXNTEST_f0614eb3957d,C(Cl)Cl|CO,room,medium,0
RXNTEST_3d74f7c788ef,CN(C)C=O,hot,short,0
RXNTEST_6ae70e292358,CN(C)C=O,warm,overnight,0
RXNTEST_2b79b71e5619,C1CCOC1|O1CCCC1,cold,short,0
